places,coords,
UT,"39.52732791, -111.581801",
NC,"35.47141899, -78.67098163",
MT,"46.43724, -109.83685",
NE,"41.40517722, -99.64177826",
TN,"35.85892471, -86.41458181",
SD,"44.36773273, -100.3324843",
AZ,"34.33415965, -112.1164572",
IL,"40.4739979, -88.97199898",
OK,"35.47793503, -97.48487159",
SC,"34.04691432, -80.93904148",
DE,"39.10295, -75.54913",
AL,"32.55606262, -86.54731031",
PA,"40.01959, -75.12808",
KY,"37.34717236, -85.34999307",
FL,"28.39173503, -81.40885097",
MS,"32.86870541, -89.70238882",
OR,"44.0714434, -121.155422",
WA,"46.99516, -120.54767",
GA,"32.6748, -83.40183",
MO,"38.57559279, -92.18097278",
LA,"31.30923353, -92.45456861",
TX,"31.83010332, -99.42644205",
MD,"39.28575, -76.62075",
WY,"43.02568504, -108.3861424",
IN,"39.76986, -86.14785",
OH,"39.98258321, -82.98764509",
VA,"37.29644791, -78.39965311",
ID,"44.07915847, -115.6193207",
CA,"36.78305504, -119.8021988",
AR,"34.74058, -92.25085",
NM,"34.59752268, -106.0313596",
CT,"41.65650805, -72.78478552",
NV,"39.51381998, -115.960475",
CO,"39.022562, -105.797146",
